RunID,m1,m2,k1,k2,alpha,beta_ray,omega1,omega2,zeta1,zeta2
100,1000,2000,240000,600000,3.993e-05,0.4763,11.7433501555993,22.84937038789,0.0205140181929366,0.0108787943405982
101,1000,2000,240000,600000,4.356e-05,0.5196,11.7433501555993,22.84937038789,0.022378928937749,0.011867775644289
102,1000,2000,240000,600000,4.719e-05,0.5629,11.7433501555993,22.84937038789,0.0242438396825615,0.0128567569479797
103,1000,2000,260000,650000,2.904e-05,0.3464,12.2228663693682,23.7823787228395,0.0143476383012621,0.00762802310239154
104,1000,2000,260000,650000,3.267e-05,0.3897,12.2228663693682,23.7823787228395,0.0161410930889198,0.00858152599019049
105,1000,2000,260000,650000,3.63e-05,0.433,12.2228663693682,23.7823787228395,0.0179345478765776,0.00953502887798943
106,1000,2000,260000,650000,3.993e-05,0.4763,12.2228663693682,23.7823787228395,0.0197280026642354,0.0104885317657884
107,1000,2000,260000,650000,4.356e-05,0.5196,12.2228663693682,23.7823787228395,0.0215214574518931,0.0114420346535873
108,1000,2000,260000,650000,4.719e-05,0.5629,12.2228663693682,23.7823787228395,0.0233149122395509,0.0123955375413863
109,1100,2200,160000,400000,2.904e-05,0.3464,9.14218569705313,17.7882107217279,0.0190778858558449,0.00999507075669561
110,1100,2200,160000,400000,3.267e-05,0.3897,9.14218569705313,17.7882107217279,0.0214626215878256,0.0112444546012826
111,1100,2200,160000,400000,3.63e-05,0.433,9.14218569705313,17.7882107217279,0.0238473573198062,0.0124938384458695
112,1100,2200,160000,400000,3.993e-05,0.4763,9.14218569705313,17.7882107217279,0.0262320930517868,0.0137432222904565
113,1100,2200,160000,400000,4.356e-05,0.5196,9.14218569705313,17.7882107217279,0.0286168287837674,0.0149926061350434
114,1100,2200,160000,400000,4.719e-05,0.5629,9.14218569705313,17.7882107217279,0.031001564515748,0.0162419899796304
115,1100,2200,180000,450000,2.904e-05,0.3464,9.69675225187939,18.8672466397636,0.0180024473727942,0.00945388223857725
116,1100,2200,180000,450000,3.267e-05,0.3897,9.69675225187939,18.8672466397636,0.0202527532943935,0.0106356175183994
117,1100,2200,180000,450000,3.63e-05,0.433,9.69675225187939,18.8672466397636,0.0225030592159928,0.0118173527982216
118,1100,2200,180000,450000,3.993e-05,0.4763,9.69675225187939,18.8672466397636,0.024753365137592,0.0129990880780437
119,1100,2200,180000,450000,4.356e-05,0.5196,9.69675225187939,18.8672466397636,0.0270036710591913,0.0141808233578659
120,1100,2200,180000,450000,4.719e-05,0.5629,9.69675225187939,18.8672466397636,0.0292539769807906,0.015362558637688
121,1100,2200,200000,500000,2.904e-05,0.3464,10.2212743407685,19.8878241859371,0.017093462436946,0.00899761730219262
122,1100,2200,200000,500000,3.267e-05,0.3897,10.2212743407685,19.8878241859371,0.0192301452415643,0.0101223194649667
123,1100,2200,200000,500000,3.63e-05,0.433,10.2212743407685,19.8878241859371,0.0213668280461825,0.0112470216277408
124,1100,2200,200000,500000,3.993e-05,0.4763,10.2212743407685,19.8878241859371,0.0235035108508008,0.0123717237905148
